ID,Category,Title,Size_KB,Type,Status,Primary_Tags,Key_Dependencies,Primary_Use,Phase
ODE-DOC-C3-002,Research & Precedent,Building_community_infrastructure_for_OmDromMach_at_zero_budget,19,Operational / Strategic Planning,Published,#community #infrastructure #zero-budget #bootstrap #operational,C3-001 A1-004,Community infrastructure setup guide,Community Scaling (Phase 2)
ODE-DOC-C3-003,Research & Precedent,Multi-platform_streaming_architecture_for_mature_artistic_content,20,Technical / Operational Planning,Published,#streaming #platform #architecture #technical,B1-003 C1-006,Technical reference for livestreaming,Implementation (Phase 4)
ODE-DOC-D1-001,Content & Resources,Prospecting-letters-for-diverse-artists-and-new-works.md,45,Recruitment / Outreach Materials,Published,#recruitment #prospecting #letters #outreach,A2-001 C1-*,Direct recruitment outreach,Artist Recruitment (Phase 1)
ODE-DOC-D1-002,Content & Resources,Transforming-content-into-growth-opportunities.md,32,Strategy / Growth Planning,Published,#strategy #growth #content #outreach,A2-* D1-001,Content strategy reference,Community Scaling (Phase 2)
ODE-DOC-D2-001,Content & Resources,org-naming-simple-matrix.md,6.5,Organizational Planning,Published,#naming #organization #simple #matrix,D2-002,Quick reference for naming decision rationale,Organizational (Completed)
ODE-DOC-D2-002,Content & Resources,org-naming-alternatives-complete.md,21,Organizational Planning,Published,#naming #organization #alternatives #comprehensive,D2-001 D2-003,Reference for branding decisions,Organizational (Completed)
ODE-DOC-D2-003,Content & Resources,org-naming-voting-template.md,2.5,Organizational Process,Published,#naming #voting #process #template,D2-002,Community decision-making template,Organizational (Future Use)
ODE-DOC-D2-004,Content & Resources,org-naming-plain-text-version.txt,6.5,Organizational Planning,Published,#naming #plain-text #reference,D2-002,Accessible reference; email-compatible,Organizational (Completed)
ODE-DOC-D2-005,Content & Resources,org-structure-iterations.md,17,Organizational Planning,Published,#organization #structure #iterations #governance,C3-* C3-002,Governance model selection reference,Organizational (Phase 0)
ODE-DOC-D3-001,Content & Resources,The_Fusion_Engine_of_All_Media__Minds__and_Matter.md,996,Exploratory / Speculative,Published,#exploratory #fusion #speculative #massive #comprehensive,A2-004 B2-001,Conceptual inspiration,Conceptual Research (Archive)
ODE-DOC-D3-002,Content & Resources,Metaverse_Hub_App_Concept_Exploration.md,54,Exploratory / Product Design,Published,#metaverse #product #exploration #speculative #design,B1-* C2-001,Future product direction research,Conceptual Research (Archive)
ODE-DOC-D3-003,Content & Resources,ChatGPT-Cyberpoetry_Matrix_Cascade.md,316,Exploratory / Generative Art,Published,#generative #poetry #chatgpt #exploratory #speculative,Tangential,Inspirational source for generative writing,Conceptual Research (Archive)
ODE-DOC-D3-004,Content & Resources,Nexus_Bable-Alexandria.md,54,Exploratory / Speculative Design,Published,#speculative #design #knowledge #nexus #exploratory,Exploratory,Platform design inspiration,Conceptual Research (Archive)
ODE-DOC-D3-005,Content & Resources,universal-system-architecture.md,25,Theoretical Framework / Speculative,Published,#architecture #universal #system #framework #theory,A2-004 B2-001,Conceptual research and thought leadership,Conceptual Research
ODE-DOC-D3-006,Content & Resources,aether-canvas-the-universal-waveform-explorer.md,8,Product Concept / Speculative,Published,#product #concept #waveform #explorer #speculative,B1-*,UI/UX inspiration for performer dashboard,Conceptual Research
ODE-DOC-D3-007,Content & Resources,an-architectural-synthesis-a-modular-multi-agent.md,25,Technical / Architectural Synthesis,Published,#architecture #synthesis #modular #multi-agent,B1-*,Reference for multi-agent system design,Implementation (Phase 4+)
ODE-DOC-E1-001,Meta-Documentation,__Critique__The_Omni-Performative_Engine_Project_Documentation,23,Meta-Analysis / Critique,Published,#critique #meta #analysis #feedback,All prior documents,Self-awareness tool and peer review preparation,Grant Preparation
ODE-DOC-E1-002,Meta-Documentation,__Logic_Check__Omni-Performative_Engine_Documentation,23,Meta-Analysis / Logical Validation,Published,#logic #validation #reasoning #analysis,All prior documents,Argument validation and claim substantiation,Grant Preparation
ODE-DOC-E1-003,Meta-Documentation,__Logos_Review__Omni-Performative_Engine_Project_Documentation,37,Meta-Analysis / Rhetorical Analysis,Published,#logos #rhetoric #analysis #persuasion,E1-001 E1-002,Argument effectiveness assessment,Grant Preparation
ODE-DOC-E1-004,Meta-Documentation,__Ethos_Review__Omni-Performative_Engine_Project_Documentation,33,Meta-Analysis / Rhetorical Analysis,Published,#ethos #rhetoric #credibility #analysis,E1-001 E1-003,Credibility assessment and positioning strategy,Grant Preparation
ODE-DOC-E1-005,Meta-Documentation,__Pathos_Review__Omni-Performative_Engine_Documentation,26,Meta-Analysis / Rhetorical Analysis,Published,#pathos #rhetoric #emotion #analysis,E1-001 E1-003 E1-004,Values alignment and emotional resonance,Grant Preparation
ODE-DOC-E1-006,Meta-Documentation,__Blind_Spot_Analysis__Omni-Performative_Engine_Project_Documentation,47,Meta-Analysis / Gap Identification,Published,#blind-spots #gaps #analysis #risks,All prior documents,Risk assessment and assumption validation,Grant Preparation
ODE-DOC-E1-007,Meta-Documentation,__Shatter_Points_Analysis__Omni-Performative_Engine,31,Meta-Analysis / Risk Identification,Published,#risk #shatter-points #vulnerability #analysis,E1-006,Risk assessment and contingency development,Grant Preparation
ODE-DOC-E2-001,Meta-Documentation,__Evolution_Change_Log___Priority_Roadmap,27,Roadmap / Evolution Log,Published,#evolution #changelog #roadmap #development,Core documentation,Development history reference and continuity tracking,Ongoing
ODE-DOC-E2-002,Meta-Documentation,__Strategic_Roadmap__From_Theory_to_Implementation,12,Strategic Planning / Roadmap,Published,#strategic #roadmap #planning #phases,A1-004 E2-001,Development planning and grant timeline,All Phases
ODE-DOC-E2-003,Meta-Documentation,__STRATEGIC_REFRAME__BOOTSTRAP_PROTOCOL,9,Strategic Planning / Bootstrap Protocol,Published,#bootstrap #protocol #strategic #phases,A1-004 E2-002,Daily reference for action sequencing,Bootstrap (Phase 0)
ODE-DOC-E3-001,Meta-Documentation,__The_Omni-Performative_Engine__An_Evolved_Framework_____From_Vision_to_Validated_Research_System,38,Synthesis / Strategic Positioning,Published,#synthesis #framework #positioning #strategic,All prior documents,Comprehensive positioning reference,All Phases
ODE-DOC-E3-002,Meta-Documentation,____Multi-AI_Orchestration__Omni-Performative_Engine__,44,Technical Synthesis / Multi-Agent Strategy,Published,#multi-ai #orchestration #agents #synthesis,B1-* B2-*,Development methodology reference,Implementation (Phase 4+)
ODE-DOC-E3-003,Meta-Documentation,the-archive-trace.md,14,Meta-Documentation / Archival Practice,Published,#archive #trace #meta #preservation,Core documentation,Knowledge management reference,Ongoing
ODE-DOC-E3-004,Meta-Documentation,the-brutalist-ziggurat-of-truth.md,8,Poetic / Conceptual Essay,Published,#poetic #conceptual #philosophy #metaphor,Tangential,Conceptual inspiration,Conceptual Research (Archive)
ODE-DOC-E3-005,Meta-Documentation,No_More_Dark__CREATING_The_Damn_Thing_in_Public_,19,Manifesto / Strategic Direction,Published,#manifesto #public #creation #transparent,A2-001 D1-002,Communication strategy and engagement framework,All Phases
ODE-DOC-E3-006,Meta-Documentation,The_Omni-Performative_Engine,5,Directory / Subdocument,Published,#directory #organization #structure,B1-* B2-*,Internal organizational reference,Organizational
ODE-DOC-E3-007,Meta-Documentation,ARCHIVAL-DOCUMENT,5,Archive / Historical Record,Published,#archive #historical #record,Tangential,Historical research and continuity,Archive
ODE-DOC-E3-008,Meta-Documentation,What_else_is_like_this___Clarifying_questions__answers__synthesis,2.5,Research / Synthesis,Published,#research #synthesis #clarification,C1-* A2-*,Positioning clarity and differentiation,Grant Preparation
ODE-DOC-E3-009,Meta-Documentation,12-week-launch-plan.md,19,Operational Planning / Timeline,Published,#launch-plan #timeline #operational #12-week,A1-004 E2-002 E2-003,Daily development reference and sprint planning,Bootstrap (Phase 0)
ODE-DOC-E3-010,Meta-Documentation,local_scaffolding_status,3.5,Operational / Status Report,Published,#status #scaffolding #operational,Core operations,Development team synchronization,Bootstrap (Phase 0)
